what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459834983757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459834986940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459835017734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1459835021462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1459835021650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1459835021821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1459835022476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835023397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835038095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459835049951
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459835055925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459835059139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459835076783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459835098373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835102273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835114301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1459835130181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835133036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835133379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459835156171
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459835160446
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1459835160477
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1459835160524
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1459835160539
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1459835160820
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1459835160851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835162880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835176997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835185640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835192181
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1459835216485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835222850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459835239807
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459835239901
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1459835239932
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1459835239932
