what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1459838821500
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1459838821531
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1459838821531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838828552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838828568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838828677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838828876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838830775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838841301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459838907978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838924609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838924609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838924718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838924842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838927269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838935107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838936114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838939094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838940529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459838971667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459839002851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459839006673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459839008311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839027376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839027376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839027485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839027662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839029880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839037559
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459839037575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839053863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839057373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839058839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839072208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459839072801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839078854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839079104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459839081693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839087856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839087856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839087966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839088095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839090219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839101045
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459839101069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459839104200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459839119020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839124762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839124762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839124871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839124988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839126531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839133259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459839138593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839144818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839144818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839144928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839145122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839147013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839156451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459839161796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839167523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839167523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839167647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839167780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839169677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839181313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839190100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839191332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839197291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839212548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839216979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839221830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839226604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459839296649
